"","date","lineage","pred","obs"
"187",2020-01-11,"Other",1,NA
"188",2020-01-12,"Alpha",2.46108165412739e-20,NA
"189",2020-01-12,"Beta",2.69338601933111e-24,NA
"190",2020-01-12,"Delta",3.71273905668859e-42,NA
"191",2020-01-12,"Om:BA.1",3.14115158787879e-178,NA
"192",2020-01-12,"Om:BA.2",8.26400889424482e-153,NA
"193",2020-01-12,"Om:BA.2.12.1",1.50996129864024e-275,NA
"194",2020-01-12,"Om:BA.2.75",0,NA
"195",2020-01-12,"Om:BA.2.75.2",3.4353247766506e-106,NA
"196",2020-01-12,"Om:BA.4",0,NA
"197",2020-01-12,"Om:BA.4.6",0,NA
"198",2020-01-12,"Om:BA.5",0,NA
"199",2020-01-12,"Om:BF.7",0,NA
"200",2020-01-12,"Om:BN.1",2.69984017495248e-70,NA
"201",2020-01-12,"Om:BQ.1",0,NA
"202",2020-01-12,"Om:BQ.1.1",0,NA
"203",2020-01-12,"Om:XBB",1.91871444257676e-30,NA
"204",2020-01-12,"Other",1,NA
"205",2020-01-13,"Alpha",2.80716267787286e-20,NA
"206",2020-01-13,"Beta",3.12878918854281e-24,NA
"207",2020-01-13,"Delta",4.66850406989838e-42,NA
"208",2020-01-13,"Om:BA.1",6.98856748331168e-178,NA
"209",2020-01-13,"Om:BA.2",1.57331360634488e-152,NA
"210",2020-01-13,"Om:BA.2.12.1",4.66894138363197e-275,NA
"211",2020-01-13,"Om:BA.2.75",0,NA
"212",2020-01-13,"Om:BA.2.75.2",5.17052245222725e-106,NA
"213",2020-01-13,"Om:BA.4",0,NA
"214",2020-01-13,"Om:BA.4.6",0,NA
"215",2020-01-13,"Om:BA.5",0,NA
"216",2020-01-13,"Om:BF.7",0,NA
"217",2020-01-13,"Om:BN.1",3.50513048925294e-70,NA
"218",2020-01-13,"Om:BQ.1",0,NA
"219",2020-01-13,"Om:BQ.1.1",0,NA
"220",2020-01-13,"Om:XBB",2.11607635893142e-30,NA
"221",2020-01-13,"Other",1,NA
"222",2020-01-14,"Alpha",3.20191013850628e-20,NA
"223",2020-01-14,"Beta",3.63457807981547e-24,NA
"224",2020-01-14,"Delta",5.87031027979017e-42,NA
"225",2020-01-14,"Om:BA.1",1.55484617989354e-177,NA
"226",2020-01-14,"Om:BA.2",2.99529651478673e-152,NA
"227",2020-01-14,"Om:BA.2.12.1",1.44368028925107e-274,NA
"228",2020-01-14,"Om:BA.2.75",0,NA
"229",2020-01-14,"Om:BA.2.75.2",7.7821761164173e-106,NA
"230",2020-01-14,"Om:BA.4",0,NA
"231",2020-01-14,"Om:BA.4.6",0,NA
